news_headline,news_article,news_category,full_text,clean_text
Edureka suffers server breach exposing data of 2 mn users,"Bengaluru's edtech startup Edureka has suffered a data breach that exposed 25-GB of personal information of at least two million users for a week, SafetyDetectives reported. Edureka's US-based server was left unsecured allowing unfettered access to company's database, the report said. The startup's spokesperson confirmed the data breach but denied that any sensitive information had been exposed.",technology,"Edureka suffers server breach exposing data of 2 mn users. Bengaluru's edtech startup Edureka has suffered a data breach that exposed 25-GB of personal information of at least two million users for a week, SafetyDetectives reported. Edureka's US-based server was left unsecured allowing unfettered access to company's database, the report said. The startup's spokesperson confirmed the data breach but denied that any sensitive information had been exposed.",edureka suffer server breach expose datum mn user bengalurus edtech startup edureka suffer data breach expose gb personal information least two million user week safetydetective report edurekas us base server leave unsecured allow unfettered access companys database report say startups spokesperson confirm data breach deny sensitive information expose
Google asks staff who went abroad amid COVID-19 to return: Report,"Google has advised workers companywide to return to the country where they are employed by the end of 2020, Bloomberg reported. Earlier, Google had allowed some of its employees to go abroad for personal reasons amid COVID-19 and work remotely. However, the policy is now coming to an end but it may be open to review in high-risk areas.",technology,"Google asks staff who went abroad amid COVID-19 to return: Report. Google has advised workers companywide to return to the country where they are employed by the end of 2020, Bloomberg reported. Earlier, Google had allowed some of its employees to go abroad for personal reasons amid COVID-19 and work remotely. However, the policy is now coming to an end but it may be open to review in high-risk areas.",google ask staff go abroad amid covid return report google advise worker companywide return country employ end bloomberg report early google allow employee go abroad personal reason amid covid work remotely however policy come end may open review high risk area
Google's 30% tax will eat up most businesses: Razorpay Co-Founder,"Several founders including Razorpay Co-Founder Harshil Mathur criticised Google's 30% Play Store tax from apps selling digital goods. “India needs a local app store long term else 30% tax will eat up most businesses,"" Mathur tweeted. Google defended the policy since the fee is charged only if the developer charges users to download their app or sells in-app digital items.",technology,"Google's 30% tax will eat up most businesses: Razorpay Co-Founder. Several founders including Razorpay Co-Founder Harshil Mathur criticised Google's 30% Play Store tax from apps selling digital goods. “India needs a local app store long term else 30% tax will eat up most businesses,"" Mathur tweeted. Google defended the policy since the fee is charged only if the developer charges users to download their app or sells in-app digital items.",google tax eat business razorpay co founder several founder include razorpay co founder harshil mathur criticise googles play store tax app sell digital good india need local app store long term else tax eat business mathur tweet google defend policy since fee charge developer charge user download app sell app digital item
Data monitoring platform Dataminr doesn't violate surveillance ban: Twitter,"Twitter defended data monitoring platform Dataminr, saying it doesn't violate its ban on using the platform for surveillance. Dataminr taps into tweets and other social media, using AI to alert authorities about protests or civil unrest in real time. ""We see societal benefit in public Twitter data being used for news alerting, first responder support, and disaster relief,"" said Twitter.",technology,"Data monitoring platform Dataminr doesn't violate surveillance ban: Twitter. Twitter defended data monitoring platform Dataminr, saying it doesn't violate its ban on using the platform for surveillance. Dataminr taps into tweets and other social media, using AI to alert authorities about protests or civil unrest in real time. ""We see societal benefit in public Twitter data being used for news alerting, first responder support, and disaster relief,"" said Twitter.",datum monitoring platform dataminr not violate surveillance ban twitter twitter defend datum monitoring platform dataminr say not violate ban use platform surveillance dataminr tap tweet social medium use ai alert authority protest civil unrest real time see societal benefit public twitter datum use news alerting first responder support disaster relief say twitter
"Microsoft's Bing, Info.com, others win in Google's EU search auction","Microsoft's Bing, Info.com and DuckDuckGo were among the search engines that won Google's quarterly auction to show up as search options on Android devices in 31 European nations. Google allowed competitors to bid for ad space on search pages after the European Union fined it billions of dollars for antitrust violations. US-based Info.com got rights in all 31 countries.",technology,"Microsoft's Bing, Info.com, others win in Google's EU search auction. Microsoft's Bing, Info.com and DuckDuckGo were among the search engines that won Google's quarterly auction to show up as search options on Android devices in 31 European nations. Google allowed competitors to bid for ad space on search pages after the European Union fined it billions of dollars for antitrust violations. US-based Info.com got rights in all 31 countries.",microsofts bing info com win googles eu search auction microsofts bing info com duckduckgo among search engine win google quarterly auction show search option android device european nation google allow competitor bid ad space search page european union fine billion dollar antitrust violation us base info com get right country
India's AI spending expected to grow to $880.5 mn in 2023: IDC,"According to IDC forecast, India's artificial intelligence (AI) spending is expected to grow at a compound annual growth rate of 30.8% to $880.5-million in 2023. Enterprises are relying on AI to maintain business continuity and gain competitive advantage, the report said. They are considering investments in intelligent solutions to tackle various issues, IDC's Cloud and AI Lead Rishu Sharma said.",technology,"India's AI spending expected to grow to $880.5 mn in 2023: IDC. According to IDC forecast, India's artificial intelligence (AI) spending is expected to grow at a compound annual growth rate of 30.8% to $880.5-million in 2023. Enterprises are relying on AI to maintain business continuity and gain competitive advantage, the report said. They are considering investments in intelligent solutions to tackle various issues, IDC's Cloud and AI Lead Rishu Sharma said.",indias ai spend expect grow mn idc accord idc forecast india artificial intelligence ai spending expect grow compound annual growth rate million enterprise rely ai maintain business continuity gain competitive advantage report say consider investment intelligent solution tackle various issue idcs cloud ai lead rishu sharma say
"Google unveils Pixel 5, Pixel 4a 5G, starting at $499","Google on Wednesday launched the Pixel 5 and Pixel 4a 5G in nine countries, priced at $699 and $499 respectively. The phones will not be launched in the Indian market, however Google will launch the earlier standard Pixel 4a later this month. Google also unveiled a new Chromecast with Google TV and a Nest speaker.",technology,"Google unveils Pixel 5, Pixel 4a 5G, starting at $499. Google on Wednesday launched the Pixel 5 and Pixel 4a 5G in nine countries, priced at $699 and $499 respectively. The phones will not be launched in the Indian market, however Google will launch the earlier standard Pixel 4a later this month. Google also unveiled a new Chromecast with Google TV and a Nest speaker.",google unveils pixel pixel g start google wednesday launch pixel pixel g nine country price respectively phone not launch indian market however google launch early standard pixel later month google also unveil new chromecast google tv nest speaker
China mulling antitrust probe against Google on Huawei's request: Report,"China is reportedly preparing an antitrust probe against Google after Huawei proposed the case last year alleging stifling of competition due to Google's operating system dominance. The case will also reportedly look at how Google's market position could cause “extreme damage” to Chinese companies. Trump had earlier banned Huawei in the US till May 2021, for ""national security concerns.""",technology,"China mulling antitrust probe against Google on Huawei's request: Report. China is reportedly preparing an antitrust probe against Google after Huawei proposed the case last year alleging stifling of competition due to Google's operating system dominance. The case will also reportedly look at how Google's market position could cause “extreme damage” to Chinese companies. Trump had earlier banned Huawei in the US till May 2021, for ""national security concerns.""",china mull antitrust probe google huaweis request report china reportedly prepare antitrust probe google huawei propose case last year allege stifle competition due google operating system dominance case also reportedly look google market position could cause extreme damage chinese company trump early ban huawei us till may national security concern
"Facebook bans ads that attack voting methods, portray elections as invalid","Facebook on Wednesday said it has banned ads on its platform and Instagram that claim widespread voting fraud, suggest US elections results would be invalid or attack any voting method. Facebook earlier banned political ads one week before elections and those claiming election victory prematurely. In the past, Trump argued mail-in ballots as a voting method could cause fraud.",technology,"Facebook bans ads that attack voting methods, portray elections as invalid. Facebook on Wednesday said it has banned ads on its platform and Instagram that claim widespread voting fraud, suggest US elections results would be invalid or attack any voting method. Facebook earlier banned political ads one week before elections and those claiming election victory prematurely. In the past, Trump argued mail-in ballots as a voting method could cause fraud.",facebook ban ad attack voting method portray election invalid facebook wednesday say ban ad platform instagram claim widespread voting fraud suggest us election result would invalid attack voting method facebook early ban political ad one week election claim election victory prematurely past trump argue mail ballot voting method could cause fraud
Payment gateways don't need to deduct tax if e-commerce does it: CBDT,The Central Board of Direct Taxes (CBDT) has announced that payment gateways no longer have to cut taxes for e-commerce transactions if the platform has already deducted it. The Union Budget's proposal to insert a new section 194-O to provide a new levy of TDS at 1% rate had earlier raised concerns from industry stakeholders over double deduction of taxes.,technology,Payment gateways don't need to deduct tax if e-commerce does it: CBDT. The Central Board of Direct Taxes (CBDT) has announced that payment gateways no longer have to cut taxes for e-commerce transactions if the platform has already deducted it. The Union Budget's proposal to insert a new section 194-O to provide a new levy of TDS at 1% rate had earlier raised concerns from industry stakeholders over double deduction of taxes.,payment gateway not need deduct tax e commerce cbdt central board direct taxis cbdt announce payment gateway no longer cut taxis e commerce transaction platform already deduct union budget proposal insert new section provide new levy tds rate early raise concern industry stakeholder double deduction taxis
Google Meet allows unlimited calls for free users till March 2021,"Google on Tuesday said it will continue offering unlimited Meet calls capped at 24 hours in the free version through March 31, 2021. Google had made the video calling platform available to everyone for free in April, but only till September 30. It has now extended the dates and added features like collaborative digital whiteboard and call casting on TV.",technology,"Google Meet allows unlimited calls for free users till March 2021. Google on Tuesday said it will continue offering unlimited Meet calls capped at 24 hours in the free version through March 31, 2021. Google had made the video calling platform available to everyone for free in April, but only till September 30. It has now extended the dates and added features like collaborative digital whiteboard and call casting on TV.",google meet allow unlimited call free user till march google tuesday say continue offer unlimited meet call cap hour free version march google make video calling platform available everyone free april till september extend date add feature like collaborative digital whiteboard call cast tv
Russian hackers behind 52% of nation-state cyberattacks: Microsoft,"According to data released by Microsoft, Russian hackers are responsible for a majority of the nation-state attacks on Microsoft users. The company said that 52% of nation-state hacking attempts between July 2019 and June 2020 were related to Russian hackers. These hackers targeted political campaigns, sporting events like the Olympics as well as non-profit organisations. ",technology,"Russian hackers behind 52% of nation-state cyberattacks: Microsoft. According to data released by Microsoft, Russian hackers are responsible for a majority of the nation-state attacks on Microsoft users. The company said that 52% of nation-state hacking attempts between July 2019 and June 2020 were related to Russian hackers. These hackers targeted political campaigns, sporting events like the Olympics as well as non-profit organisations. ",russian hackers behind nation state cyberattack microsoft accord datum release microsoft russian hacker responsible majority nation state attack microsoft user company say nation state hacking attempt july june relate russian hacker hacker target political campaign sport event like olympics well non profit organisation
Apple grants Tim Cook his first major stock package in 10 years,"Apple has announced that it will be granting its CEO Tim Cook 3,33,987 restricted stock units, with a possibility to earn 3,33,987 more, for the first time since 2011. The stock grant was awarded ""in recognition of his outstanding leadership"", Apple's board of directors said. Cook will be eligible to receive additional units in October 2023 based on company's performance.",technology,"Apple grants Tim Cook his first major stock package in 10 years. Apple has announced that it will be granting its CEO Tim Cook 3,33,987 restricted stock units, with a possibility to earn 3,33,987 more, for the first time since 2011. The stock grant was awarded ""in recognition of his outstanding leadership"", Apple's board of directors said. Cook will be eligible to receive additional units in October 2023 based on company's performance.",apple grants tim cook first major stock package year apple announce grant ceo tim cook restrict stock unit possibility earn first time since stock grant award recognition outstanding leadership apple board director say cook eligible receive additional unit october base companys performance
"Users spot dark mode on Google Maps, share screenshots on social media","Some users who have been using the running version 10.51.1 of Google Maps have shared screenshots of the dark theme available on their app. The option, available under 'Appearance' on the Settings page, is a server-side update not yet widely rolled out for users. The current version of the app only allows users to use the night mode while navigating.",technology,"Users spot dark mode on Google Maps, share screenshots on social media. Some users who have been using the running version 10.51.1 of Google Maps have shared screenshots of the dark theme available on their app. The option, available under 'Appearance' on the Settings page, is a server-side update not yet widely rolled out for users. The current version of the app only allows users to use the night mode while navigating.",user spot dark mode google maps share screenshot social medium user use run version google map share screenshot dark theme available app option available appearance setting page server side update not yet widely roll user current version app allow user use night mode navigate
EU drafts rules forcing Big Tech firms to share data: Report,"The European Union (EU) is reportedly drafting rules to force global technology companies to share customer data with rivals. The new rules could be part of EU's Digital Services Act, which could also ban these firms from exclusively pre-installing their own apps on devices. EU's antitrust head said the rules, aimed to increase these companies' responsibilities, would come by year-end.",technology,"EU drafts rules forcing Big Tech firms to share data: Report. The European Union (EU) is reportedly drafting rules to force global technology companies to share customer data with rivals. The new rules could be part of EU's Digital Services Act, which could also ban these firms from exclusively pre-installing their own apps on devices. EU's antitrust head said the rules, aimed to increase these companies' responsibilities, would come by year-end.",eu drafts rule force big tech firm share datum report european union eu reportedly draft rule force global technology company share customer datum rival new rule could part eus digital services act could also ban firm exclusively pre instal app device eus antitrust head say rule aim increase company responsibility would come year end
Rashid Khan dedicates Man of the Match award to his late mother,"SunRisers Hyderabad's leg-spinner Rashid Khan dedicated his Man of the Match award against Delhi capitals to his late mother. ""My mom was my biggest fan, especially in the IPL and when I was the MoM, she would always talk to me through the night,"" he said. ""My parents' memories are always with me,"" he further said.",sports,"Rashid Khan dedicates Man of the Match award to his late mother. SunRisers Hyderabad's leg-spinner Rashid Khan dedicated his Man of the Match award against Delhi capitals to his late mother. ""My mom was my biggest fan, especially in the IPL and when I was the MoM, she would always talk to me through the night,"" he said. ""My parents' memories are always with me,"" he further said.",rashid khan dedicate man match award late mother sunriser hyderabad leg spinner rashid khan dedicate man match award delhi capital late mother mom big fan especially ipl mom would always talk night say parent memory always say
RCB pacer Udana criticises trolls for 'Ashoke Dinda Academy' jokes,"RCB's Sri Lankan pacer Isuru Udana took to his Instagram Story to criticise trolls over 'Ashoke Dinda Academy' jokes. Sharing a letter Dinda wrote to trolls asking them to not ""degrade"" his cricket, Udana wrote, ""Never judge someone without knowing the whole story. You may think you understand...but you don't."" He added, ""This man got more than 400 first-class wickets...Respect.""",sports,"RCB pacer Udana criticises trolls for 'Ashoke Dinda Academy' jokes. RCB's Sri Lankan pacer Isuru Udana took to his Instagram Story to criticise trolls over 'Ashoke Dinda Academy' jokes. Sharing a letter Dinda wrote to trolls asking them to not ""degrade"" his cricket, Udana wrote, ""Never judge someone without knowing the whole story. You may think you understand...but you don't."" He added, ""This man got more than 400 first-class wickets...Respect.""",rcb pacer udana criticise trolls ashoke dinda academy jokes rcbs sri lankan pacer isuru udana take instagram story criticise troll ashoke dinda academy joke share letter dinda write troll ask not degrade cricket udana write never judge someone without know whole story may think understand not add man get first class wicket respect
"Tewatia, Uthappa, Parag not the ideal no. 4 to no. 6 for RR: Aakash Chopra","Cricketer-turned-commentator Aakash Chopra has said that Rajasthan Royals' batting order looks weak to him. He added that Rajasthan Royals' middle-order almost looks 'non-existent'. ""Rahul Tewatia, Robin Uthappa and Riyan Parag are not the ideal number 4 to number 6. So I feel there is definitely a scope of a change,"" he added.",sports,"Tewatia, Uthappa, Parag not the ideal no. 4 to no. 6 for RR: Aakash Chopra. Cricketer-turned-commentator Aakash Chopra has said that Rajasthan Royals' batting order looks weak to him. He added that Rajasthan Royals' middle-order almost looks 'non-existent'. ""Rahul Tewatia, Robin Uthappa and Riyan Parag are not the ideal number 4 to number 6. So I feel there is definitely a scope of a change,"" he added.",tewatia uthappa parag not ideal no no rr aakash chopra cricketer turn commentator aakash chopra say rajasthan royal batting order look weak add rajasthan royal middle order almost look non existent rahul tewatia robin uthappa riyan parag not ideal number number feel definitely scope change add
"KKR hand RR their first defeat in IPL 2020, move to 2nd on points table","Kolkata Knight Riders defeated Rajasthan Royals by 37 runs in their IPL 2020 match on Wednesday. This is RR's first defeat in the season, while KKR moved from 7th place to 2nd place on the points table after registering their second consecutive win. Shubman Gill top-scored for KKR for the second straight match, scoring 47 runs off 34 deliveries.",sports,"KKR hand RR their first defeat in IPL 2020, move to 2nd on points table. Kolkata Knight Riders defeated Rajasthan Royals by 37 runs in their IPL 2020 match on Wednesday. This is RR's first defeat in the season, while KKR moved from 7th place to 2nd place on the points table after registering their second consecutive win. Shubman Gill top-scored for KKR for the second straight match, scoring 47 runs off 34 deliveries.",kkr hand rr first defeat ipl move nd point table kolkata knight rider defeat rajasthan royal run ipl match wednesday rrs first defeat season kkr move th place nd place point table register second consecutive win shubman gill top score kkr second straight match score run delivery
Now anything I'd say about KKR would mean nothing: SRK as Sachin praises KKR,"After Sachin Tendulkar praised KKR for their win against RR, KKR owner Shah Rukh Khan tweeted, ""Now anything I'd say about KKR and the boys will mean nothing."" He added, ""The great man has spoken. Just so happy to see all in the team propping up youngsters and making it count...Love you boys 'lots of pyaar from a little afar'.""",sports,"Now anything I'd say about KKR would mean nothing: SRK as Sachin praises KKR. After Sachin Tendulkar praised KKR for their win against RR, KKR owner Shah Rukh Khan tweeted, ""Now anything I'd say about KKR and the boys will mean nothing."" He added, ""The great man has spoken. Just so happy to see all in the team propping up youngsters and making it count...Love you boys 'lots of pyaar from a little afar'.""",anything would say kkr would mean nothing srk sachin praise kkr sachin tendulkar praise kkr win rr kkr owner shah rukh khan tweet anything would say kkr boy mean nothing add great man speak happy see team prop youngster make count love boy lot pyaar little afar
What will happen if someone violates bio-bubble in IPL?,"A player will undergo a six-day quarantine for ""unauthorised departure"" from IPL bio-bubble. On a second offence, he will be suspended for one match and a third violation would lead to his removal from IPL. If a franchise allows ""any person into bio-bubble"", it'll be fined ₹1 crore at first offence and a point will be deducted at second offence.",sports,"What will happen if someone violates bio-bubble in IPL?. A player will undergo a six-day quarantine for ""unauthorised departure"" from IPL bio-bubble. On a second offence, he will be suspended for one match and a third violation would lead to his removal from IPL. If a franchise allows ""any person into bio-bubble"", it'll be fined ₹1 crore at first offence and a point will be deducted at second offence.",happen someone violate bio bubble ipl player undergo six day quarantine unauthorised departure ipl bio bubble second offence suspend one match third violation would lead removal ipl franchise allow person bio bubble fine crore first offence point deduct second offence
No one can and no one should try to play like MS Dhoni: Sanju Samson,"Rajasthan Royals wicketkeeper-batsman Sanju Samson has said no one can and no one should try to play like MS Dhoni. ""It's not at all easy to play like Dhoni, so leave that aside. I never think of playing like him. He is a legend of Indian cricket, a legend of the game. I only focus on my game,"" Samson added.",sports,"No one can and no one should try to play like MS Dhoni: Sanju Samson. Rajasthan Royals wicketkeeper-batsman Sanju Samson has said no one can and no one should try to play like MS Dhoni. ""It's not at all easy to play like Dhoni, so leave that aside. I never think of playing like him. He is a legend of Indian cricket, a legend of the game. I only focus on my game,"" Samson added.",no one no one try play like ms dhoni sanju samson rajasthan royals wicketkeeper batsman sanju samson say no one no one try play like ms dhoni not easy play like dhoni leave aside never think play like legend indian cricket legend game focus game samson add
"Kohli told me to give everything to 10 years, have favourite food after that: Samson","RR wicketkeeper-batsman Sanju Samson has said that he became ""really dedicated"" to giving his best for the next 10-12 years after a gym conversation with Virat Kohli when he was with Team India. ""He told me 'Give everything to these 10 years and you can have your favourite food from Kerala after that',"" Samson further said.",sports,"Kohli told me to give everything to 10 years, have favourite food after that: Samson. RR wicketkeeper-batsman Sanju Samson has said that he became ""really dedicated"" to giving his best for the next 10-12 years after a gym conversation with Virat Kohli when he was with Team India. ""He told me 'Give everything to these 10 years and you can have your favourite food from Kerala after that',"" Samson further said.",kohli tell give everything year favourite food samson rr wicketkeeper batsman sanju samson say become really dedicated give good next year gym conversation virat kohli team india tell give everything year favourite food kerala samson say
Shreyas Iyer fined ₹12 lakh for slow over-rate against SRH,"Delhi Capitals captain Shreyas Iyer has been penalised after his team maintained a slow over-rate during their IPL 2020 match against SunRisers Hyderabad in Abu Dhabi on Tuesday. As it was Delhi Capitals' first offence of the season relating to over-rate, Iyer was fined ₹12 lakh, the IPL said. SunRisers Hyderabad won the match by 15 runs.",sports,"Shreyas Iyer fined ₹12 lakh for slow over-rate against SRH. Delhi Capitals captain Shreyas Iyer has been penalised after his team maintained a slow over-rate during their IPL 2020 match against SunRisers Hyderabad in Abu Dhabi on Tuesday. As it was Delhi Capitals' first offence of the season relating to over-rate, Iyer was fined ₹12 lakh, the IPL said. SunRisers Hyderabad won the match by 15 runs.",shreyas iyer fine lakh slow rate srh delhi capitals captain shreyas iyer penalise team maintain slow rate ipl match sunriser hyderabad abu dhabi tuesday delhi capital first offence season relate rate iyer fine lakh ipl say sunriser hyderabad win match run
